,video_name,video_year,video_link,name,artist,album,img,duration,tags,missing
76,DC - The DC Video,2003,https://www.skatevideosite.com/videos/the-dc-video,Organism,Tommy Guerrero,Soul Food Taqueria,https://lastfm.freetls.fastly.net/i/u/34s/bbb8ebd459dc400b8989e8a29023ca9e.png,251000,hip hop||chill||chill out||chillout||instrumental,False
55,Habitat - Mosaic,2003,https://www.skatevideosite.com/videos/habitat-mosaic,Ghostwriter,RJD2,Deadringer,https://lastfm.freetls.fastly.net/i/u/34s/92ef0004859f4aeab42f00dfbd860ffe.png,312000,trip-hop||electronic||Hip-Hop||chillout||hip hop,False
56,Habitat - Mosaic,2003,https://www.skatevideosite.com/videos/habitat-mosaic,?,The Greenhornes,,,,,True
57,Habitat - Mosaic,2003,https://www.skatevideosite.com/videos/habitat-mosaic,Loose Lip Sync Ship,The Chocolate Watch Band,Forty Four,https://lastfm.freetls.fastly.net/i/u/34s/d3e712cee02e4913ac4ad4695986d591.png,183000,60s||Garage Rock||Psychedelic Rock||rockabilly soul||rock,False
58,Habitat - Mosaic,2003,https://www.skatevideosite.com/videos/habitat-mosaic,Satisfy My Mind,The Greenhornes,Dual Mono,https://lastfm.freetls.fastly.net/i/u/34s/b613e1d61d3f4e22892383e72850816f.png,170000,Garage Rock||rock-protopunk||classic rock||metal||seen live,False
59,Habitat - Mosaic,2003,https://www.skatevideosite.com/videos/habitat-mosaic,?,J Mascis,,,,,True
60,Habitat - Mosaic,2003,https://www.skatevideosite.com/videos/habitat-mosaic,Psychotic Reaction,The Count Five,Psychotic Reaction,https://lastfm.freetls.fastly.net/i/u/34s/97232f53b2734cfaa0266aaf40c1f6ee.png,184000,60s||Garage Rock||Psychedelic Rock||psychedelic||garage,False
72,DC - The DC Video,2003,https://www.skatevideosite.com/videos/the-dc-video,Orion,Metallica,Master of Puppets,https://lastfm.freetls.fastly.net/i/u/34s/07f492a00c904cc6ccf868010be4d5a6.png,503000,thrash metal||instrumental||metal||heavy metal||metallica,False
73,DC - The DC Video,2003,https://www.skatevideosite.com/videos/the-dc-video,Armenia City In The Sky / Tortoise - Cornpone Brunch,The Who,,,,,True
74,DC - The DC Video,2003,https://www.skatevideosite.com/videos/the-dc-video,Storm Troopin',Ted Nugent,Anthology,,0,,True
75,DC - The DC Video,2003,https://www.skatevideosite.com/videos/the-dc-video,Full Clip,Gang Starr,Full Clip: A Decade Of Gang Starr,https://lastfm.freetls.fastly.net/i/u/34s/dcba882e1444484f9442d5f7a283f604.png,201000,Hip-Hop||hip hop||rap||Gangsta Rap||underground hip-hop,False
77,DC - The DC Video,2003,https://www.skatevideosite.com/videos/the-dc-video,Juice (Know the Ledge),Armand van Helden,New York: A Mix Odyssey 2,https://lastfm.freetls.fastly.net/i/u/34s/4fe802759ee787e0f98d39d8bda81129.png,241000,hip hop||rap||Hip-Hop||90s||high fidelity,False
54,Habitat - Mosaic,2003,https://www.skatevideosite.com/videos/habitat-mosaic,Crawshay,Cymande,Second Time Round,https://lastfm.freetls.fastly.net/i/u/34s/e6b75d9cac5b0d59809ec1847a849271.png,261000,funk||soul||jazz||groovy||chilled soul,False
78,DC - The DC Video,2003,https://www.skatevideosite.com/videos/the-dc-video,Run to the Hills,Iron Maiden,Edward the Great,https://lastfm.freetls.fastly.net/i/u/34s/4848a0ce2f98376b71c932e409e9afb4.png,239000,heavy metal||metal||Iron Maiden||NWOBHM||rock,False
80,DC - The DC Video,2003,https://www.skatevideosite.com/videos/the-dc-video,Escape (The Pina Colada Song),Rupert Holmes,Partners In Crime,https://lastfm.freetls.fastly.net/i/u/34s/94b74a3c0d854047c04c68bbb3a84e30.png,231000,70s||pop||easy listening||80s||classic rock,False
81,DC - The DC Video,2003,https://www.skatevideosite.com/videos/the-dc-video,Duration Segment,Sixtoo,Untitled,,0,instrumental||want to hear more,True
135,Habitat - Mosaic,2003,https://www.skatevideosite.com/videos/habitat-mosaic,Towers of Dub,The Dylan Group,Ur-klang Search,https://lastfm.freetls.fastly.net/i/u/34s/eddbd1153d9d3567f249ab45e1c2584e.png,400000,alternative||Vibraphone||dub||metro downtempo||adam pierce,False
136,Habitat - Mosaic,2003,https://www.skatevideosite.com/videos/habitat-mosaic,Crawshay,Cymande,Second Time Round,https://lastfm.freetls.fastly.net/i/u/34s/e6b75d9cac5b0d59809ec1847a849271.png,261000,funk||soul||jazz||groovy||chilled soul,False
137,Habitat - Mosaic,2003,https://www.skatevideosite.com/videos/habitat-mosaic,Ghostwriter,RJD2,Deadringer,https://lastfm.freetls.fastly.net/i/u/34s/92ef0004859f4aeab42f00dfbd860ffe.png,312000,trip-hop||electronic||Hip-Hop||chillout||hip hop,False
138,Habitat - Mosaic,2003,https://www.skatevideosite.com/videos/habitat-mosaic,?,The Greenhornes,,,,,True
139,Habitat - Mosaic,2003,https://www.skatevideosite.com/videos/habitat-mosaic,Loose Lip Sync Ship,The Chocolate Watch Band,Forty Four,https://lastfm.freetls.fastly.net/i/u/34s/d3e712cee02e4913ac4ad4695986d591.png,183000,60s||Garage Rock||Psychedelic Rock||rockabilly soul||rock,False
140,Habitat - Mosaic,2003,https://www.skatevideosite.com/videos/habitat-mosaic,Satisfy My Mind,The Greenhornes,Dual Mono,https://lastfm.freetls.fastly.net/i/u/34s/b613e1d61d3f4e22892383e72850816f.png,170000,Garage Rock||rock-protopunk||classic rock||metal||seen live,False
141,Habitat - Mosaic,2003,https://www.skatevideosite.com/videos/habitat-mosaic,?,J Mascis,,,,,True
142,Habitat - Mosaic,2003,https://www.skatevideosite.com/videos/habitat-mosaic,Psychotic Reaction,The Count Five,Psychotic Reaction,https://lastfm.freetls.fastly.net/i/u/34s/97232f53b2734cfaa0266aaf40c1f6ee.png,184000,60s||Garage Rock||Psychedelic Rock||psychedelic||garage,False
79,DC - The DC Video,2003,https://www.skatevideosite.com/videos/the-dc-video,?,Danny Mayer,,,,,True
53,Habitat - Mosaic,2003,https://www.skatevideosite.com/videos/habitat-mosaic,Towers of Dub,The Dylan Group,Ur-klang Search,https://lastfm.freetls.fastly.net/i/u/34s/eddbd1153d9d3567f249ab45e1c2584e.png,400000,alternative||Vibraphone||dub||metro downtempo||adam pierce,False
82,McBeth - Mark Gonzales - The Journal,2006,https://www.skatevideosite.com/videos/mcbeth-mark-gonzales-the-journal,Macbeth,Ciccone Youth,The Whitey Album,https://lastfm.freetls.fastly.net/i/u/34s/e991751bba275f97c14596b18fa831ab.png,328000,noise rock||experimental||noise||alternative||post-punk,False
